0.567568e	0.514208e
0.569570e	0.515335e
0.571572e	0.516451e
0.573574e	0.517557e
0.575576e	0.518653e
0.577578e	0.519738e
0.579580e	0.520813e
0.581582e	0.521877e
0.583584e	0.522930e
0.585586e	0.523973e
0.587588e	0.525005e
0.589590e	0.526026e
0.591592e	0.527037e
0.593594e	0.528036e
0.595596e	0.529025e
0.597598e	0.530003e
0.599600e	0.530969e
0.601602e	0.531925e
0.603604e	0.532870e
0.605606e	0.533803e
0.607608e	0.534725e
0.609610e	0.535636e
0.611612e	0.536536e
0.613614e	0.537424e
0.615616e	0.538301e
0.617618e	0.539166e
0.619620e	0.540020e
0.621622e	0.540863e
0.623624e	0.541693e
0.625626e	0.542513e
0.627628e	0.543320e
0.629630e	0.544117e
0.631632e	0.544901e
0.633634e	0.545674e
0.635636e	0.546434e
0.637638e	0.547183e
0.639640e	0.547921e
0.641642e	0.548646e
0.643644e	0.549360e
0.645646e	0.550061e
0.647648e	0.550751e
0.649650e	0.551428e
0.651652e	0.552094e
0.653654e	0.552748e
0.655656e	0.553389e
0.657658e	0.554019e
0.659660e	0.554636e
0.661662e	0.555241e
0.663664e	0.555834e
0.665666e	0.556415e
0.667668e	0.556984e
0.669670e	0.557540e
0.671672e	0.558085e
0.673674e	0.558617e
0.675676e	0.559137e
0.677678e	0.559644e
0.679680e	0.560140e
0.681682e	0.560623e
0.683684e	0.561093e
0.685686e	0.561552e
0.687688e	0.561998e
0.689690e	0.562432e
0.691692e	0.562853e
0.693694e	0.563262e
0.695696e	0.563659e
0.697698e	0.564044e
0.699700e	0.564416e
0.701702e	0.564776e
0.703704e	0.565123e
0.705706e	0.565458e
0.707708e	0.565781e
0.709710e	0.566091e
0.711712e	0.566390e
0.713714e	0.566675e
0.715716e	0.566949e
0.717718e	0.567210e
0.719720e	0.567459e
0.721722e	0.567696e
0.723724e	0.567920e
0.725726e	0.568132e
0.727728e	0.568332e
0.729730e	0.568519e
0.731732e	0.568695e
0.733734e	0.568858e
0.735736e	0.569009e
0.737738e	0.569147e
0.739740e	0.569274e
0.741742e	0.569388e
0.743744e	0.569491e
0.745746e	0.569581e
0.747748e	0.569659e
0.749750e	0.569726e
0.751752e	0.569780e
0.753754e	0.569822e
0.755756e	0.569852e
0.757758e	0.569870e
0.759760e	0.569877e
0.761762e	0.569871e
0.763764e	0.569854e
0.765766e	0.569825e
