-0.916192e	-0.537483e
-0.915992e	-0.537557e
-0.915792e	-0.537636e
-0.915592e	-0.537712e
-0.915392e	-0.537788e
-0.915192e	-0.537865e
-0.914991e	-0.537940e
-0.914791e	-0.538017e
-0.914591e	-0.538093e
-0.914391e	-0.538172e
-0.914191e	-0.538245e
-0.913991e	-0.538321e
-0.913791e	-0.538397e
-0.913591e	-0.538473e
-0.913391e	-0.538549e
-0.913191e	-0.538623e
-0.912991e	-0.538700e
-0.912791e	-0.538775e
-0.912591e	-0.538851e
-0.912391e	-0.538926e
-0.912191e	-0.539000e
-0.911991e	-0.539076e
-0.911791e	-0.539152e
-0.911591e	-0.539226e
-0.911391e	-0.539301e
-0.911191e	-0.539376e
-0.910991e	-0.539450e
-0.910791e	-0.539526e
-0.910591e	-0.539601e
-0.910391e	-0.539674e
-0.910191e	-0.539748e
-0.909991e	-0.539824e
-0.909791e	-0.539898e
-0.909591e	-0.539973e
-0.909391e	-0.540046e
-0.909191e	-0.540120e
-0.908991e	-0.540194e
-0.908791e	-0.540269e
-0.908591e	-0.540343e
-0.908391e	-0.540416e
-0.908191e	-0.540490e
-0.907991e	-0.540564e
-0.907791e	-0.540637e
-0.907591e	-0.540711e
-0.907391e	-0.540784e
-0.907191e	-0.540857e
-0.906991e	-0.540931e
-0.906791e	-0.541004e
-0.906591e	-0.541077e
-0.906391e	-0.541150e
-0.906191e	-0.541224e
-0.905991e	-0.541297e
-0.905791e	-0.541369e
-0.905591e	-0.541442e
-0.905391e	-0.541515e
-0.905191e	-0.541588e
-0.904990e	-0.541660e
-0.904790e	-0.541733e
-0.904590e	-0.541805e
-0.904390e	-0.541877e
-0.904190e	-0.541949e
-0.903990e	-0.542021e
-0.903790e	-0.542094e
-0.903590e	-0.542166e
-0.903390e	-0.542238e
-0.903190e	-0.542310e
-0.902990e	-0.542382e
-0.902790e	-0.542453e
-0.902590e	-0.542525e
-0.902390e	-0.542596e
-0.902190e	-0.542668e
-0.901990e	-0.542739e
-0.901790e	-0.542810e
-0.901590e	-0.542882e
-0.901390e	-0.542953e
-0.901190e	-0.543024e
-0.900990e	-0.543095e
-0.900790e	-0.543166e
-0.900590e	-0.543237e
-0.900390e	-0.543308e
-0.900190e	-0.543378e
-0.899990e	-0.543449e
-0.899790e	-0.543520e
-0.899590e	-0.543590e
-0.899390e	-0.543661e
-0.899190e	-0.543731e
-0.898990e	-0.543801e
-0.898790e	-0.543871e
-0.898590e	-0.543941e
-0.898390e	-0.544011e
-0.898190e	-0.544081e
-0.897990e	-0.544151e
-0.897790e	-0.544221e
-0.897590e	-0.544291e
-0.897390e	-0.544360e
-0.897190e	-0.544430e
-0.896990e	-0.544499e
-0.896790e	-0.544569e
-0.896590e	-0.544638e
-0.896390e	-0.544707e
-0.896190e	-0.544776e
-0.895990e	-0.544845e
-0.895790e	-0.544914e
-0.895590e	-0.544983e
-0.895390e	-0.545052e
-0.895190e	-0.545121e
-0.894989e	-0.545190e
-0.894789e	-0.545258e
-0.894589e	-0.545327e
-0.894389e	-0.545395e
-0.894189e	-0.545464e
-0.893989e	-0.545532e
-0.893789e	-0.545600e
-0.893589e	-0.545668e
-0.893389e	-0.545736e
-0.893189e	-0.545804e
-0.892989e	-0.545872e
-0.892789e	-0.545940e
-0.892589e	-0.546008e
-0.892389e	-0.546075e
-0.892189e	-0.546143e
-0.891989e	-0.546210e
-0.891789e	-0.546278e
-0.891589e	-0.546345e
-0.891389e	-0.546412e
-0.891189e	-0.546479e
-0.890989e	-0.546546e
-0.890789e	-0.546613e
-0.890589e	-0.546680e
-0.890389e	-0.546747e
-0.890189e	-0.546814e
-0.889989e	-0.546881e
-0.889789e	-0.546947e
-0.889589e	-0.547014e
-0.889389e	-0.547080e
-0.889189e	-0.547146e
-0.888989e	-0.547213e
-0.888789e	-0.547279e
-0.888589e	-0.547345e
-0.888389e	-0.547411e
-0.888189e	-0.547477e
-0.887989e	-0.547543e
-0.887789e	-0.547609e
-0.887589e	-0.547674e
-0.887389e	-0.547740e
-0.887189e	-0.547805e
-0.886989e	-0.547871e
-0.886789e	-0.547936e
-0.886589e	-0.548001e
-0.886389e	-0.548067e
-0.886189e	-0.548132e
-0.885989e	-0.548197e
-0.885789e	-0.548262e
-0.885589e	-0.548327e
-0.885389e	-0.548391e
-0.885189e	-0.548456e
-0.884988e	-0.548520e
-0.884788e	-0.548585e
-0.884588e	-0.548649e
-0.884388e	-0.548714e
-0.884188e	-0.548778e
-0.883988e	-0.548842e
-0.883788e	-0.548906e
-0.883588e	-0.548971e
-0.883388e	-0.549034e
-0.883188e	-0.549098e
-0.882988e	-0.549162e
-0.882788e	-0.549226e
-0.882588e	-0.549289e
-0.882388e	-0.549353e
-0.882188e	-0.549416e
-0.881988e	-0.549480e
-0.881788e	-0.549543e
-0.881588e	-0.549606e
-0.881388e	-0.549669e
-0.881188e	-0.549732e
-0.880988e	-0.549795e
-0.880788e	-0.549858e
-0.880588e	-0.549921e
-0.880388e	-0.549983e
-0.880188e	-0.550046e
-0.879988e	-0.550108e
-0.879788e	-0.550171e
-0.879588e	-0.550233e
-0.879388e	-0.550295e
-0.879188e	-0.550358e
-0.878988e	-0.550420e
-0.878788e	-0.550482e
-0.878588e	-0.550543e
-0.878388e	-0.550605e
-0.878188e	-0.550667e
-0.877988e	-0.550729e
-0.877788e	-0.550790e
-0.877588e	-0.550852e
-0.877388e	-0.550913e
-0.877188e	-0.550974e
-0.876988e	-0.551036e
-0.876788e	-0.551097e
-0.876588e	-0.551158e
-0.876388e	-0.551219e
-0.876188e	-0.551280e
-0.875988e	-0.551340e
-0.875788e	-0.551401e
-0.875588e	-0.551462e
-0.875388e	-0.551522e
-0.875188e	-0.551583e
-0.874987e	-0.551643e
-0.874787e	-0.551703e
-0.874587e	-0.551763e
-0.874387e	-0.551823e
-0.874187e	-0.551883e
-0.873987e	-0.551943e
-0.873787e	-0.552003e
-0.873587e	-0.552063e
-0.873387e	-0.552122e
-0.873187e	-0.552182e
-0.872987e	-0.552242e
-0.872787e	-0.552301e
-0.872587e	-0.552360e
-0.872387e	-0.552419e
-0.872187e	-0.552479e
-0.871987e	-0.552538e
-0.871787e	-0.552597e
-0.871587e	-0.552655e
-0.871387e	-0.552714e
-0.871187e	-0.552773e
-0.870987e	-0.552831e
-0.870787e	-0.552890e
-0.870587e	-0.552948e
-0.870387e	-0.553007e
-0.870187e	-0.553065e
-0.869987e	-0.553123e
-0.869787e	-0.553181e
-0.869587e	-0.553239e
-0.869387e	-0.553297e
-0.869187e	-0.553355e
-0.868987e	-0.553412e
-0.868787e	-0.553470e
-0.868587e	-0.553528e
-0.868387e	-0.553585e
-0.868187e	-0.553642e
-0.867987e	-0.553700e
-0.867787e	-0.553757e
-0.867587e	-0.553814e
-0.867387e	-0.553871e
-0.867187e	-0.553928e
-0.866987e	-0.553985e
-0.866787e	-0.554041e
-0.866587e	-0.554098e
-0.866387e	-0.554154e
-0.866187e	-0.554211e
-0.865987e	-0.554267e
-0.865787e	-0.554323e
-0.865587e	-0.554380e
-0.865387e	-0.554436e
-0.865187e	-0.554492e
-0.864986e	-0.554548e
-0.864786e	-0.554603e
-0.864586e	-0.554659e
-0.864386e	-0.554715e
-0.864186e	-0.554770e
-0.863986e	-0.554826e
-0.863786e	-0.554881e
-0.863586e	-0.554936e
-0.863386e	-0.554992e
-0.863186e	-0.555047e
-0.862986e	-0.555102e
-0.862786e	-0.555157e
-0.862586e	-0.555211e
-0.862386e	-0.555266e
-0.862186e	-0.555321e
-0.861986e	-0.555375e
-0.861786e	-0.555430e
-0.861586e	-0.555484e
-0.861386e	-0.555538e
-0.861186e	-0.555592e
-0.860986e	-0.555647e
-0.860786e	-0.555700e
-0.860586e	-0.555754e
-0.860386e	-0.555808e
-0.860186e	-0.555862e
-0.859986e	-0.555916e
-0.859786e	-0.555969e
-0.859586e	-0.556022e
-0.859386e	-0.556076e
-0.859186e	-0.556129e
-0.858986e	-0.556182e
-0.858786e	-0.556235e
-0.858586e	-0.556288e
-0.858386e	-0.556341e
-0.858186e	-0.556394e
-0.857986e	-0.556447e
-0.857786e	-0.556499e
-0.857586e	-0.556552e
-0.857386e	-0.556604e
-0.857186e	-0.556656e
-0.856986e	-0.556709e
-0.856786e	-0.556761e
-0.856586e	-0.556813e
-0.856386e	-0.556865e
-0.856186e	-0.556917e
-0.855986e	-0.556968e
-0.855786e	-0.557020e
-0.855586e	-0.557072e
-0.855386e	-0.557123e
-0.855186e	-0.557174e
-0.854985e	-0.557226e
-0.854785e	-0.557277e
-0.854585e	-0.557328e
-0.854385e	-0.557379e
-0.854185e	-0.557430e
-0.853985e	-0.557481e
-0.853785e	-0.557531e
-0.853585e	-0.557582e
-0.853385e	-0.557633e
-0.853185e	-0.557683e
-0.852985e	-0.557733e
-0.852785e	-0.557784e
-0.852585e	-0.557834e
-0.852385e	-0.557884e
-0.852185e	-0.557934e
-0.851985e	-0.557984e
-0.851785e	-0.558033e
-0.851585e	-0.558083e
-0.851385e	-0.558133e
-0.851185e	-0.558182e
-0.850985e	-0.558232e
-0.850785e	-0.558281e
-0.850585e	-0.558330e
-0.850385e	-0.558379e
-0.850185e	-0.558428e
-0.849985e	-0.558477e
-0.849785e	-0.558526e
-0.849585e	-0.558575e
-0.849385e	-0.558623e
-0.849185e	-0.558672e
-0.848985e	-0.558720e
-0.848785e	-0.558769e
-0.848585e	-0.558817e
-0.848385e	-0.558865e
-0.848185e	-0.558913e
-0.847985e	-0.558961e
-0.847785e	-0.559009e
-0.847585e	-0.559057e
-0.847385e	-0.559104e
-0.847185e	-0.559152e
-0.846985e	-0.559199e
-0.846785e	-0.559247e
-0.846585e	-0.559294e
-0.846385e	-0.559341e
-0.846185e	-0.559388e
-0.845985e	-0.559435e
-0.845785e	-0.559482e
-0.845585e	-0.559529e
-0.845385e	-0.559576e
-0.845185e	-0.559622e
-0.844984e	-0.559669e
-0.844784e	-0.559715e
-0.844584e	-0.559761e
-0.844384e	-0.559808e
-0.844184e	-0.559854e
-0.843984e	-0.559900e
-0.843784e	-0.559946e
